,City,Country,Temperature,Humidity,Latitude,Longitude,Cloudiness,Wind Speed
0,Butaritari,KI,80.89,81,3.0707,172.7902,91,21.9
1,Albany,US,31.39,64,42.6001,-73.9662,75,12.66
2,Birmitrapur,IN,61.47,61,22.4,84.7667,40,6.38
3,Punta Arenas,CL,57.09,41,-53.15,-70.9167,20,19.57
4,Aswān,EG,70.03,25,24.0934,32.907,0,10.0
5,Atasū,KZ,31.48,98,48.6814,71.6433,100,24.72
6,Ushuaia,AR,51.8,50,-54.8,-68.3,20,18.41
7,Nova Granada,BR,82.4,39,-20.5339,-49.3142,40,12.66
8,Tomatlán,MX,80.04,55,19.9333,-105.25,89,1.52
9,Faanui,PF,81.37,69,-16.4833,-151.75,0,10.25
10,Jamestown,US,17.46,62,42.097,-79.2353,1,21.85
11,Srednekolymsk,RU,-21.84,85,67.45,153.6833,7,2.33
12,Lebu,CL,62.74,77,-37.6167,-73.65,92,6.29
13,Anadyr,RU,-7.26,77,64.75,177.4833,0,8.95
14,Cape Town,ZA,74.3,68,-33.9258,18.4232,20,19.57
15,Arrondissement de Saint-Gaudens,FR,51.8,93,43.0833,0.6667,90,11.5
16,Salinas,US,43.25,87,36.6777,-121.6555,1,5.75
17,Mahébourg,MU,78.8,83,-20.4081,57.7,20,5.75
18,Wajid,SO,87.71,23,3.8093,43.2471,0,13.09
19,Dingle,PH,75.36,91,10.9995,122.6711,65,9.55
20,Lewistown,US,31.05,47,40.5992,-77.5714,1,21.85
21,Hobart,AU,56.53,82,-42.8794,147.3294,75,6.91
22,Quang Ngai,VN,68.59,90,15.1167,108.8,45,2.53
23,Mataura,NZ,49.21,94,-46.1927,168.8643,3,1.16
24,Namtsy,RU,-41.8,60,62.7161,129.6658,99,4.47
25,Ibrā’,OM,58.93,50,22.6906,58.5334,0,6.13
26,Rikitea,PF,77.47,74,-23.1203,-134.9692,100,13.2
27,Saskylakh,RU,-37.82,80,71.9167,114.0833,69,4.61
28,Verkhnyaya Inta,RU,-28.44,85,65.9811,60.3094,50,8.99
29,Qaanaaq,GL,9.66,87,77.484,-69.3632,100,7.31
30,Volzhskiy,RU,22.01,68,48.7858,44.7797,75,13.42
31,Fortuna,US,43.88,100,40.5982,-124.1573,90,3.04
32,Tuktoyaktuk,CA,-16.6,76,69.4541,-133.0374,90,16.11
33,Manyana,BW,78.39,62,-23.4,21.7167,11,8.5
34,Kapaa,US,58.23,82,22.0752,-159.319,40,8.05
35,Laas,IT,38.73,93,46.6166,10.7002,20,10.36
36,Barrow,US,-0.4,71,71.2906,-156.7887,90,10.36
37,Port Alfred,ZA,77.0,87,-33.5906,26.891,15,3.0
38,Mabaruma,GY,80.6,83,8.2,-59.7833,75,20.71
39,Ladário,BR,86.0,51,-19.0047,-57.6017,75,5.75
40,Mar del Plata,AR,69.8,64,-38.0023,-57.5575,75,14.97
41,Rabak,SD,76.01,18,13.1809,32.74,45,10.47
42,Nanortalik,GL,24.35,79,60.1432,-45.2371,0,4.09
43,Vao,NC,77.31,87,-22.6667,167.4833,1,8.12
44,Bluff,NZ,54.27,86,-46.6,168.3333,9,1.45
45,Hithadhoo,MV,81.99,76,-0.6,73.0833,100,14.25
46,Pevek,RU,-1.84,86,69.7008,170.3133,100,1.32
47,Ponta do Sol,PT,57.27,51,32.6667,-17.1,40,6.91
48,Hermanus,ZA,73.0,79,-34.4187,19.2345,1,5.01
49,Narón,ES,50.52,57,43.5167,-8.1528,20,9.22
50,Norman Wells,CA,-34.6,67,65.282,-126.8329,40,4.61
51,Tiksi,RU,-25.46,85,71.6872,128.8694,100,7.23
52,Tiznit Province,MA,52.75,65,29.5833,-9.5,96,15.21
53,Chumikan,RU,-9.18,82,54.7183,135.315,100,12.97
54,Bireun,ID,78.96,83,5.203,96.7009,85,4.38
55,Tumbi,TZ,69.8,88,-5.0667,32.7333,75,5.75
56,Mil'kovo,RU,6.35,94,54.7167,158.6167,100,2.77
57,Auki,SB,78.71,85,-8.7676,160.7034,100,10.45
58,Malmesbury,ZA,73.53,68,-33.4608,18.7271,20,19.57
59,Souillac,MU,78.8,83,-20.5167,57.5167,20,5.75
60,Karratha,AU,78.82,76,-20.7377,116.8463,5,10.65
61,Beringovskiy,RU,-9.65,88,63.05,179.3167,1,6.76
62,George Town,MY,84.09,74,5.4112,100.3354,20,5.75
63,Busselton,AU,58.62,94,-33.65,115.3333,100,1.01
64,Menzelinsk,RU,5.0,85,55.7271,53.1026,90,20.13
65,Muroto-misakicho,JP,53.8,72,33.2833,134.15,0,6.69
66,Asunción Nochixtlán,MX,67.55,45,17.4667,-97.2333,8,3.78
67,Port Elizabeth,ZA,78.8,73,-33.918,25.5701,75,9.22
68,Naranjos,MX,73.42,78,21.35,-97.6833,0,4.74
69,Caravelas,BR,82.89,81,-17.7125,-39.2481,92,9.93
70,Plettenberg Bay,ZA,73.13,69,-34.0527,23.3716,10,5.48
71,Cherskiy,RU,-9.98,81,68.75,161.3,0,7.72
72,Panji,ID,77.05,89,-7.7253,114.0995,100,4.59
73,Kikwit,CD,78.1,85,-5.041,18.8162,90,2.44
74,Nyaunglebin,MM,73.09,56,17.95,96.7333,0,2.68
75,Kaitangata,NZ,50.25,93,-46.2817,169.8464,2,3.51
76,Torbay,CA,36.57,80,47.6666,-52.7314,90,5.75
77,Chany,RU,31.32,99,55.3121,76.7647,100,16.91
78,Muyezerskiy,RU,13.14,96,63.9333,31.65,97,8.97
79,Igrim,RU,-16.29,88,63.1906,64.4162,100,12.03
80,Katsuura,JP,46.04,87,35.1333,140.3,20,11.5
81,Castro,BR,76.21,51,-24.7911,-50.0119,0,5.57
82,Salym,RU,34.95,98,60.0625,71.4789,100,10.04
83,Xam Nua,LA,55.9,93,20.4197,104.0439,2,1.72
84,Kavaratti,IN,81.21,66,10.5669,72.642,0,10.0
85,Abhā,SA,54.45,76,18.2164,42.5053,40,11.5
86,Bethel,US,38.1,44,41.3712,-73.414,1,16.11
87,Arrondissement de Carpentras,FR,61.45,59,44.0833,5.1667,90,16.11
88,Prince Rupert,CA,36.01,93,54.3161,-130.3201,90,4.61
89,Puerto Ayora,EC,80.28,74,-0.7393,-90.3518,40,9.22
90,Hauterive,FR,54.19,55,46.0901,3.4459,90,18.41
91,Saint-Paul,RE,71.17,97,-21.0096,55.2707,53,1.97
92,Chokurdakh,RU,-16.37,87,70.6333,147.9167,99,3.94
93,Barra Patuca,HN,83.84,68,15.8,-84.2833,44,9.8
94,Padang,ID,75.2,88,-0.9492,100.3543,20,2.3
95,Thompson,CA,-34.6,67,55.7435,-97.8558,75,9.22
96,Miandrivazo,MG,80.85,78,-19.5167,45.4667,100,1.72
97,Ratnagiri,IN,76.78,59,16.9833,73.3,0,8.3
98,Kindu,CD,73.53,89,-2.95,25.95,93,2.37
99,Stokmarknes,NO,25.3,87,68.5646,14.9108,80,16.69
100,Vaini,TO,73.4,100,-21.2,-175.2,90,11.5
101,Codrington,AU,59.23,79,-38.2667,141.9667,98,15.35
102,Nome,US,15.8,86,64.5011,-165.4064,90,6.91
103,Airai,TL,61.0,97,-8.9266,125.4092,100,1.97
104,Tumsar,IN,62.44,33,21.3833,79.7333,0,7.87
105,Opuwo,NA,84.38,38,-18.0607,13.84,100,4.16
106,Cabo San Lucas,MX,66.2,72,22.8909,-109.9124,1,3.44
107,Tambacounda,SN,87.8,27,13.7539,-13.7586,0,11.5
108,Chui,UY,79.66,50,-33.6971,-53.4616,0,10.09
109,Hong Kong,HK,64.63,76,22.2855,114.1577,0,4.54
110,Dudinka,RU,-30.28,81,69.4058,86.1778,0,10.11
111,Barabash,RU,8.6,61,43.2,131.4833,80,6.71
112,Clyde River,CA,-14.8,84,70.4692,-68.5914,40,2.3
113,Bengkulu,ID,76.86,85,-3.8004,102.2655,78,6.55
114,Alice Springs,AU,76.42,31,-23.7,133.8833,49,6.91
115,Hilo,US,60.06,67,19.7297,-155.09,1,6.91
116,Nishihara,JP,65.25,72,26.1842,127.7558,20,6.91
117,Antofagasta,CL,73.06,60,-23.65,-70.4,0,13.8
118,East London,ZA,77.0,88,-33.0153,27.9116,75,6.91
119,New Norfolk,AU,54.81,74,-42.7826,147.0587,4,1.99
120,Khatanga,RU,-36.92,78,71.9667,102.5,0,5.12
121,Banff,CA,-2.81,78,51.1762,-115.5698,100,4.61
122,Macklin,CA,-23.8,76,52.3334,-109.9348,100,5.75
123,Carutapera,BR,89.71,54,-1.195,-46.02,66,10.6
124,Atuona,PF,80.29,76,-9.8,-139.0333,60,22.68
125,Tondano,ID,77.0,94,1.3038,124.9112,40,2.3
126,Thunder Bay,CA,-5.57,59,48.4001,-89.3168,75,16.11
127,Mount Gambier,AU,57.2,88,-37.8333,140.7667,90,8.05
128,Ōdachō-ōda,JP,48.36,82,35.1833,132.5,10,10.85
129,Talnakh,RU,-29.24,76,69.4865,88.3972,0,3.56
130,Inuvik,CA,-21.95,69,68.3499,-133.7218,100,3.44
131,Nālūt,LY,78.06,16,30.3333,10.85,100,12.84
132,Saint Paul Harbor,US,24.8,68,57.79,-152.4072,1,10.42
133,Port Lincoln,AU,61.07,81,-34.7333,135.8667,85,12.88
134,Kiryat Gat,IL,61.25,100,31.61,34.7642,21,5.12
135,West Bay,KY,83.46,74,19.3667,-81.4167,20,12.66
136,Pijijiapan,MX,88.14,33,15.7011,-93.23,0,6.29
137,Saint-Augustin,CA,32.14,98,51.226,-58.6502,100,11.83
138,Evensk,RU,7.38,89,61.95,159.2333,100,15.3
139,George Town,MY,84.09,74,5.4112,100.3354,20,5.75
140,São Miguel do Araguaia,BR,82.6,79,-13.275,-50.1628,100,8.84
141,Cidreira,BR,75.22,63,-30.1811,-50.2056,57,11.12
142,Sangar,RU,-42.25,77,63.9242,127.4739,67,4.0
143,Severo-Kuril'sk,RU,19.58,94,50.6789,156.125,100,16.98
144,Dikson,RU,-29.18,86,73.5069,80.5464,34,10.02
145,Yellowknife,CA,-46.3,65,62.456,-114.3525,1,4.81
146,Lubango,AO,68.0,50,-14.9172,13.4925,75,6.91
147,Alofi,NU,77.0,88,-19.0595,-169.9187,100,6.91
148,Vila Franca do Campo,PT,60.8,82,37.7167,-25.4333,20,17.27
149,Gushikawa,JP,64.69,82,26.3544,127.8686,20,4.61
150,Bima,ID,76.46,86,-8.4667,118.7167,69,1.88
151,Río Gallegos,AR,60.8,31,-51.6226,-69.2181,40,14.97
152,Tasiilaq,GL,32.0,93,65.6145,-37.6368,75,44.87
153,Labuhan,ID,78.87,85,-6.8844,112.2051,81,11.23
154,Arraial do Cabo,BR,75.97,73,-22.9661,-42.0278,75,2.3
155,Yerbogachën,RU,-11.97,90,61.2767,108.0108,89,3.2
156,Tilichiki,RU,6.42,92,60.4667,166.1,100,13.85
157,Lagoa,PT,59.58,90,39.05,-27.9833,100,20.45
158,Sitka,US,35.6,93,57.0531,-135.33,90,12.66
159,Ballina,AU,69.57,94,-28.8667,153.5667,85,1.81
160,Rize,TR,32.41,87,40.9044,40.8949,82,2.91
161,Olafsvik,IS,35.71,79,64.8945,-23.7142,100,16.87
162,Marshall,US,42.58,52,34.3834,-86.3333,1,4.61
163,Fukuechō,JP,55.83,67,32.6881,128.8419,0,11.9
164,Vetluga,RU,-5.64,91,57.8557,45.781,100,10.09
165,Guerrero Negro,MX,60.44,76,27.9769,-114.0611,0,7.76
166,Jalu,LY,66.58,30,29.0331,21.5482,55,8.43
167,Barraute,CA,15.44,79,48.4335,-77.6328,90,10.36
168,Mirny,RU,-24.25,87,62.5353,113.9611,88,1.81
169,Berbera,SO,75.78,72,10.4396,45.0143,28,5.53
170,Cumberland,US,50.16,43,35.0502,-78.8664,1,5.75
171,Tourlaville,FR,42.8,75,49.6383,-1.5664,20,6.91
172,Praia da Vitória,PT,63.36,77,38.7333,-27.0667,40,11.68
173,Upernavik,GL,20.3,81,72.7868,-56.1549,100,6.55
174,Codajás,BR,78.93,90,-3.8367,-62.0569,100,4.45
175,Vieste,IT,48.2,93,41.8825,16.175,0,6.91
176,Maraã,BR,83.82,79,-1.8333,-65.3667,97,0.18
177,Turukhansk,RU,-5.75,91,65.8167,87.9833,100,17.05
178,Maningrida,AU,77.22,83,-12.0667,134.2667,100,10.78
179,Polyarny,RU,23.0,86,69.1989,33.4478,75,6.71
180,Muros,ES,51.35,62,42.7762,-9.0603,9,7.0
181,Santander Jiménez,MX,70.63,72,24.2167,-98.4667,62,3.62
182,Tadine,NC,75.81,83,-21.55,167.8833,0,0.36
183,Port Hawkesbury,CA,47.1,76,45.6169,-61.3485,1,16.11
184,Celestún,MX,79.57,65,20.8667,-90.4,30,7.99
185,Havelock,US,49.19,53,34.8791,-76.9013,75,9.22
186,Bathsheba,BB,84.2,54,13.2167,-59.5167,40,21.85
187,Rincon,US,49.28,66,32.296,-81.2354,90,9.22
188,Panabá,MX,86.45,58,21.2833,-88.2667,10,12.82
189,Kavieng,PG,81.86,71,-2.5744,150.7967,96,3.78
190,Vestmannaeyjar,IS,35.6,87,63.4427,-20.2734,40,31.07
191,Nuevo Progreso,MX,70.45,67,23.1667,-97.95,5,1.99
192,Constantine,DZ,71.6,17,36.365,6.6147,2,20.71
193,Saint-Philippe,RE,76.71,74,-21.3585,55.7679,40,6.91
194,Viedma,AR,78.01,45,-40.8135,-62.9967,0,1.01
195,Tura,IN,57.72,70,25.5198,90.2201,35,3.69
196,Port Macquarie,AU,69.51,99,-31.4333,152.9167,74,5.55
197,Yekaterinoslavka,RU,-21.75,87,50.3734,129.1139,57,6.17
198,Avarua,CK,75.2,94,-21.2078,-159.775,15,2.3
199,Faya,SA,54.5,76,18.3851,42.4509,40,11.5
200,Houma,US,59.63,88,29.5958,-90.7195,90,13.8
201,Boali,CF,93.2,55,4.8005,18.1275,20,2.3
202,Sherbakul',RU,32.0,100,54.6316,72.3963,75,15.66
203,Luwuk,ID,77.72,73,-0.9516,122.7875,100,3.44
204,Sur,OM,65.34,59,22.5667,59.5289,0,7.09
205,Saldanha,ZA,75.2,64,-33.0117,17.9442,20,18.41
206,Finote Selam,ET,63.86,29,10.7,37.2667,0,7.43
207,Coquimbo,CL,64.4,72,-29.9533,-71.3436,90,6.91
208,Linjiang,CN,14.05,92,41.8069,126.9078,99,2.68
209,Batemans Bay,AU,56.75,89,-35.7167,150.1833,0,3.27
210,Takāb,IR,37.72,87,36.4009,47.1133,100,2.26
211,Sampaloc,PH,78.26,78,14.5402,121.3602,20,3.44
212,Klaksvík,FO,33.8,69,62.2266,-6.589,75,19.57
213,Iqaluit,CA,23.0,86,63.7506,-68.5145,75,19.57
214,Vanimo,PG,77.22,84,-2.6741,141.3028,98,3.51
215,Johi,PK,60.6,28,26.6921,67.6133,0,3.87
216,Nagornyy,RU,30.2,86,52.7959,83.5498,0,6.71
217,Necochea,AR,75.99,59,-38.5473,-58.7368,7,14.81
218,Hofn,IS,35.91,84,64.2539,-15.2082,100,17.78
219,Altoona,US,30.72,49,40.5187,-78.3947,0,11.01
220,Haines Junction,CA,-27.4,68,60.7522,-137.5108,87,0.6
221,Chernyshevskiy,RU,-32.15,86,63.0128,112.4714,0,1.32
222,Sørland,NO,34.75,83,67.667,12.6934,100,26.62
223,Wangqing,CN,6.35,90,43.3218,129.7634,88,4.81
224,Cambuí,BR,74.07,80,-22.6122,-46.0575,57,5.73
225,Malbork,PL,15.94,67,54.0359,19.0266,40,9.22
226,Dobryanka,RU,23.0,86,58.4619,56.4165,75,13.42
227,Kalianget,ID,79.84,82,-7.05,113.9333,88,12.37
228,Rapid Valley,US,-0.44,78,44.0625,-103.1463,20,12.66
229,Pitimbu,BR,87.8,58,-7.4706,-34.8086,75,12.66
230,Kalakamati,BW,77.0,73,-20.5929,27.3121,40,9.22
231,Dashitou,CN,1.53,90,43.3067,128.5114,54,5.48
232,Provideniya,RU,2.03,92,64.3833,-173.3,64,4.23
233,Esperance,AU,60.8,82,-33.8667,121.9,90,9.22
234,Buluang,PH,73.87,92,13.3068,123.3425,40,3.8
235,Bay City,US,16.29,67,43.5945,-83.8889,75,17.27
236,Ribeira Grande,PT,62.6,82,38.5167,-28.7,75,24.16
237,Semenyih,MY,79.81,78,2.9516,101.843,20,4.61
238,Dali,CN,46.42,56,25.7,100.1833,1,5.12
239,Morón,AR,88.61,32,-34.6534,-58.6198,0,1.01
240,Makokou,GA,84.2,74,0.5738,12.8642,40,4.61
241,Ahtopol,BG,51.8,82,42.1,27.95,0,9.22
242,Araouane,ML,85.55,14,18.9048,-3.5265,100,14.52
243,West Wendover,US,30.2,64,40.7391,-114.0733,1,6.22
244,Fergus Falls,US,-11.15,70,46.283,-96.0776,1,19.57
245,Ponta Delgada,PT,60.8,82,37.7333,-25.6667,20,17.27
246,Babīna,IN,55.42,46,25.25,78.4667,0,5.35
247,Murgab,TM,51.8,66,37.4966,61.9714,90,6.91
248,Carnarvon,AU,80.6,100,-24.8667,113.6333,40,11.5
249,Port Hedland,AU,80.6,74,-20.3167,118.5667,90,6.91
250,Chunskiy,RU,14.23,96,56.0815,99.6342,100,3.44
251,Martinsville,US,49.05,31,36.6915,-79.8725,1,10.36
252,Oranjemund,NA,67.35,81,-28.55,16.4333,0,18.99
253,Jaisalmer,IN,61.25,28,26.9147,70.9181,0,5.61
254,Mishkino,RU,33.98,98,55.3389,63.9175,100,12.01
255,Ode,NG,93.04,14,7.7899,5.7117,38,5.3
256,Bredasdorp,ZA,75.2,60,-34.5322,20.0403,12,17.27
257,Channel-Port aux Basques,CA,38.3,96,47.5702,-59.1367,100,19.39
258,Chimbote,PE,76.14,63,-9.0853,-78.5783,100,8.97
259,Kiunga,PG,74.34,98,-6.1219,141.2906,100,1.9
260,Vágur,FO,37.49,76,61.4732,-6.8119,100,23.33
261,Lumeje,AO,73.44,80,-11.55,20.7833,56,8.21
262,Poum,NC,79.84,67,-20.2333,164.0167,15,2.95
263,Raahe,FI,12.2,85,64.6833,24.4833,0,9.22
264,Waitati,NZ,56.57,79,-45.75,170.5667,7,11.99
265,Beyla,GN,94.32,22,8.6833,-8.6333,100,4.56
266,Ishigaki,JP,70.39,65,24.3448,124.1572,0,8.84
267,Hazorasp,UZ,46.4,76,41.3194,61.0742,0,6.91
268,Hualmay,PE,74.79,67,-11.0964,-77.6139,93,8.97
269,Jumla,NP,27.95,81,29.2747,82.1838,7,6.2
270,Ishinomaki,JP,41.63,78,38.4167,141.3,1,9.31
271,Keuruu,FI,7.79,92,62.2667,24.7,0,5.75
272,Bambous Virieux,MU,79.38,83,-20.3428,57.7575,20,5.75
273,Tuatapere,NZ,51.49,86,-46.1333,167.6833,1,3.22
274,Lata,PT,55.58,73,40.1629,-8.3327,89,1.99
275,Majene,ID,78.4,84,-3.5403,118.9707,100,2.21
276,Keti Bandar,PK,67.62,56,24.1447,67.4497,0,9.24
277,Taicheng,CN,29.82,81,38.731,113.228,0,4.21
278,Gijón,ES,50.47,84,43.5357,-5.6615,98,5.01
279,Evora,PT,50.0,93,38.5667,-7.9,90,14.97
280,Nísia Floresta,BR,88.66,55,-6.0911,-35.2086,75,10.36
281,Ituporanga,BR,86.76,39,-27.4144,-49.6025,0,1.01
282,Uíge,AO,78.8,73,-7.6087,15.0613,75,9.22
283,Pisco,PE,73.65,83,-13.7,-76.2167,75,9.22
284,Cuenca,EC,68.0,52,-2.8833,-78.9833,75,6.91
285,Totness,SR,82.9,68,5.8833,-56.3167,100,12.71
286,Hingoli,IN,68.22,26,19.7167,77.15,0,10.07
287,Paamiut,GL,23.04,81,61.994,-49.6678,0,7.18
288,Colares,PT,53.17,76,38.7992,-9.4469,40,19.57
